,y_true,predicted,lower,upper
1987,-1.0263852,-0.508742,-2.878992,1.8615083
1988,-1.4604869,-0.84020054,-3.4172401,1.7368389
1989,-1.7356278,-1.1495318,-3.9409335,1.6418698
1990,-1.7316501,-1.260751,-3.2658372,0.7443352
1991,-1.4803597,-1.1189951,-2.462439,0.22444904
1992,-1.1995078,-0.9652902,-2.1809149,0.25033438
1993,-1.0546904,-0.8658792,-2.3588047,0.62704635
1994,-0.902714,-0.82941973,-2.5361688,0.87732935
1995,-0.24931315,-0.5786594,-2.9265814,1.7692624
1996,2.1966815,0.49116874,-2.3008027,3.2831402
1997,2.6712284,2.0306,-0.89297223,4.954172
1998,2.4600255,2.2480276,-0.93722916,5.4332843
1999,0.73205745,0.8006847,-2.363591,3.9649603
2000,0.04585018,0.03543955,-2.9218488,2.9927278
2001,0.06208479,0.078991055,-2.5928178,2.7508001
2002,0.2158583,0.18253595,-2.6814039,3.0464756
2003,-0.045921132,0.027353764,-2.8730297,2.9277372
2004,-0.11923434,-0.15927619,-3.0419335,2.723381
2005,-0.23993444,-0.31872338,-3.1153321,2.4778852
2006,0.9403481,0.43053615,-2.5032406,3.3643131
2007,2.0126517,1.7066588,-1.1493783,4.562696
2008,1.3552984,1.3454103,-1.6654179,4.3562384
2009,0.36687672,0.34210467,-2.8227124,3.5069218
2010,-0.45505947,-0.3623412,-3.5551307,2.8304484
2011,-0.87683374,-0.7848751,-3.991191,2.4214406
2012,-0.9493387,-1.024071,-4.061146,2.0130036
2013,-1.1588091,-1.247904,-4.477765,1.9819573
2014,-1.1870431,-1.2122715,-2.6821938,0.25765073
2015,-1.1411738,-1.1149542,-2.5274801,0.29757178
2016,-0.96860707,-1.0126696,-2.1719558,0.1466167
2017,-0.89892006,-0.93952346,-2.515409,0.6363622
2018,-0.8840852,-0.8678827,-2.9010515,1.1652861
2019,-0.5610752,-0.46394727,-2.9882662,2.0603716
2020,1.0229524,0.7267283,-2.3185797,3.7720366
2021,2.5516944,1.9675024,-1.5128171,5.4478216
2022,2.371459,2.2169652,-1.4211955,5.855126
2023,0.68130493,0.96809506,-2.6749182,4.6111083
2024,-0.1687739,0.05412966,-3.5040314,3.6122906
2025,-0.12798485,0.028438032,-3.424992,3.4818683
2026,0.013832704,0.26420176,-2.9881253,3.5165286
2027,0.033478327,0.15455246,-3.238409,3.547514
2028,-0.40724587,-0.22391266,-3.6525967,3.2047713
2029,-0.3757362,-0.2741081,-3.499573,2.9513566
2030,0.2997734,0.41843593,-2.660203,3.497075
2031,1.8219091,1.4572995,-1.8985574,4.813156
2032,1.7716527,1.2751777,-2.31196,4.862315
2033,0.57283074,0.45071006,-3.0073893,3.9088094
2034,-0.27586827,-0.109330714,-3.4810047,3.2623434
2035,-0.4941872,-0.6097535,-3.8901553,2.670648
2036,-0.82438445,-0.838188,-4.10473,2.4283543
2037,-1.1188569,-1.025155,-4.552088,2.5017781
2038,-1.2978222,-1.2286028,-2.4773984,0.020192742
2039,-1.22329,-1.1414537,-2.1930351,-0.08987236
2040,-1.060044,-1.0428596,-2.515717,0.42999804
2041,-0.93769246,-0.9541437,-2.988543,1.0802555
2042,-0.876756,-0.8750818,-3.3709753,1.6208117
2043,-0.65336215,-0.62351924,-3.3984027,2.1513643
2044,0.4226738,0.44527006,-2.4613006,3.3518407
2045,2.32708,2.265844,-0.822237,5.353925
2046,2.4855533,2.3428953,-1.228157,5.9139476
2047,0.9261557,1.0204346,-2.7289922,4.769861
2048,0.0952657,0.35144293,-3.4782782,4.1811643
2049,0.08600454,0.3393849,-3.5600038,4.238774
2050,0.2910026,0.53231955,-3.3088996,4.373539
2051,0.17615102,0.34407485,-3.5115542,4.199704
2052,-0.12843066,0.09986776,-3.7766411,3.9763768
2053,-0.044194497,0.19900745,-3.641228,4.0392427
2054,0.56503147,0.57869685,-3.2753358,4.4327292
2055,1.5960616,1.1983291,-2.6920729,5.0887313
2056,1.2118565,1.1309657,-2.8451073,5.1070385
2057,0.14894101,0.0076190233,-3.9769306,3.9921684
2058,-0.9834249,-0.72903025,-4.573152,3.1150913
2059,-1.330537,-1.1074862,-4.982293,2.7673209
2060,-1.1767244,-1.1499423,-5.078208,2.7783232
2061,-1.1530668,-1.1534692,-5.2089443,2.9020061
2062,-1.0539263,-1.1361134,-2.8079991,0.53577244
2063,-0.9762058,-1.0803764,-2.0742676,-0.08648521
2064,-0.9755473,-1.0869582,-2.1031108,-0.07080555
2065,-0.98878825,-1.1616687,-2.5527058,0.22936845
2066,-1.0786369,-1.2033546,-2.7834315,0.37672234
2067,-1.219691,-1.0885324,-2.8361177,0.65905285
2068,-0.9345898,-0.8294618,-3.004574,1.3456504
2069,-0.11014446,-0.54150367,-3.1266139,2.0436065
2070,1.640929,0.5916649,-2.1299486,3.3132787
2071,2.1646128,2.0832002,-0.6910958,4.8574963
2072,2.212614,2.3383734,-0.4797578,5.1565046
2073,1.6837114,1.4159622,-1.3925481,4.2244725
2074,1.5626512,0.88246083,-1.8695521,3.6344738
2075,1.4741261,0.90945864,-2.0355177,3.854435
2076,1.2197751,0.8624636,-2.4598632,4.18479
2077,0.9855134,0.54671323,-2.749013,3.8424392
2078,0.5517277,0.1959576,-3.0166636,3.4085789
2079,0.49164817,-0.1308887,-3.5017364,3.239959
2080,-1.0009477,-0.1940912,-3.5801044,3.1919217
2081,-1.8873874,-0.28776342,-3.5549169,2.9793901
2082,-1.9007623,-0.54473203,-3.7816572,2.692193
2083,-1.5694283,-0.7290589,-4.0758896,2.6177716
2084,-1.3583963,-0.96552235,-4.421045,2.4900002
2085,-1.0940574,-1.0761292,-4.576414,2.4241557
